rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0,3|1,55|2.0|148,864193|23,982728|24,414814|25,071833|26,848771|34,249094|35,444654|32,599237|26,848771
0,3|1,6|2.0|58,823987|11,972390|7,385923|8,397315|9,408902|33,503717|33,848082|30,937218|9,408902
0,3|1,65|2.0|149,371573|29,854985|35,078954|35,663946|37,132264|19,187424|29,350805|31,156431|37,132264
0,3|1,7|2.0|85,313662|21,235158|24,242904|24,568924|26,809224|22,882957|22,781826|20,438803|26,809224
0,3|1,75|2.0|127,648334|28,216745|32,852613|33,360567|35,118358|25,499510|30,764693|31,574371|35,118358
0,3|1,8|2.0|207,992154|33,271445|37,735424|38,237620|40,001803|31,826500|36,950812|37,169847|40,001803
0,3|1,85|2.0|77,496266|20,485717|24,977007|25,454753|27,113196|18,354474|22,619491|23,692584|27,113196
0,3|1,9|2.0|138,694957|28,393058|32,833083|33,351789|35,099257|24,338271|30,709096|32,059683|35,099257
0,3|1,95|2.0|145,632226|28,256426|32,290516|32,823890|34,513813|27,414224|33,620910|33,786307|34,513813
0,3|2|2.0|137,065261|11,492996|16,207351|16,725980|17,547061|8,705858|14,611394|15,210342|17,547061
0,3|2,05|2.0|127,405563|24,860947|27,238523|27,789637|29,930519|29,411224|32,512837|29,794328|29,930519
0,3|2,1|2.0|71,884703|19,974251|23,694264|24,205770|25,989227|18,004318|24,817555|25,889619|25,989227
0,3|2,15|2.0|81,704412|22,220993|25,600504|26,236237|27,540795|27,709883|28,620415|28,160593|27,540795
0,3|2,2|2.0|186,740452|26,931257|34,036048|34,572183|35,524880|17,743107|24,453478|25,718941|35,524880
0,3|2,25|2.0|55,360425|17,544334|21,173302|21,679826|23,427575|30,646293|29,894164|24,456979|23,427575
0,3|2,3|2.0|226,784844|34,541602|38,958461|39,477375|41,168051|33,904421|37,674093|37,754143|41,168051
0,3|2,35|2.0|221,786682|34,499547|38,957201|39,475076|41,167953|29,354110|34,440655|35,350336|41,167953
0,3|2,4|2.0|43,628539|6,722595|9,673524|10,253019|11,802280|8,020948|10,858434|12,311623|11,802280
0,3|2,45|2.0|123,427438|15,027445|18,967229|19,525138|20,993471|13,011566|16,593720|16,364822|20,993471
0,3|0|0|43,180359|13,818399|17,685519|18,196978|19,875000|13,818399|17,685519|18,196978|19,875000
