indicators|argument|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
roc|0|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą|nie jest liczbą
roc|1|0,898800|3,701650|1,292565|1,467651|2,739479|6,687047|1,287415|1,542691|2,739479
roc|2|1,069905|4,909235|1,370394|1,431327|1,733062|7,107775|1,185484|1,564628|1,733062
roc|3|1,314956|5,357674|1,281155|1,427744|2,680129|6,655984|1,280009|1,438757|2,680129
roc|4|1,075535|4,295362|1,327948|1,180380|2,175356|6,919343|1,312326|1,181063|2,175356
roc|5|1,181345|4,955492|1,336877|1,428957|2,462731|6,796460|1,281716|1,528518|2,462731
roc|6|1,082508|4,419805|1,343340|1,569679|2,962218|6,598983|1,294465|1,525935|2,962218
roc|7|0,920521|3,691370|1,204898|1,414709|2,455950|6,840933|1,151039|1,508818|2,455950
roc|8|0,994280|4,250309|1,243783|1,584357|2,719758|6,817861|1,187651|1,709352|2,719758
roc|9|1,139774|5,040232|1,206874|1,398856|2,178648|6,868247|1,160164|1,369286|2,178648
roc|10|1,315756|5,498604|1,212476|1,255120|2,383159|6,897024|1,191882|1,211361|2,383159
roc|11|0,917753|3,555066|1,292324|1,461330|2,679458|6,688493|1,257046|1,503076|2,679458
roc|12|0,984305|4,470668|1,433861|1,620460|2,918533|7,025458|1,458748|1,711121|2,918533
roc|13|1,007896|4,146020|1,332992|1,504714|2,853938|6,816347|1,316094|1,551354|2,853938
roc|14|1,075246|4,316693|1,331055|1,446482|2,633259|6,916404|1,319832|1,457756|2,633259
roc|15|1,027890|5,152811|1,357603|1,335277|2,554679|6,960039|1,400352|1,296049|2,554679
roc|16|1,037279|4,630386|1,367717|1,105982|1,949380|7,091547|1,529556|0,960746|1,949380
roc|17|1,029239|4,292034|1,300015|1,288416|2,308338|6,882931|1,318620|1,161486|2,308338
roc|18|1,013194|4,087635|1,400591|1,083031|1,715579|6,898215|1,542737|0,968995|1,715579
roc|19|1,041339|4,352084|1,484504|1,051007|1,688784|6,914122|1,650127|1,027616|1,688784
roc|20|1,251429|6,014220|1,207707|1,066465|2,109545|6,733284|1,279414|0,992341|2,109545
roc|21|1,365716|5,548708|1,417748|0,992718|1,392689|7,053896|1,539225|1,007253|1,392689
roc|22|0,939884|3,532919|1,286082|1,058775|1,900784|7,088869|1,360819|0,938717|1,900784
roc|23|1,055979|4,781741|1,425032|0,924960|1,417472|7,181567|1,708307|0,883506|1,417472
roc|24|1,079546|5,237680|1,334744|1,013382|1,461265|7,043250|1,408664|0,976225|1,461265
roc|25|1,084995|4,192911|1,269754|0,994094|1,868049|7,142753|1,397033|0,867465|1,868049
roc|26|1,025638|4,271152|1,233916|1,262948|2,349004|6,806466|1,187225|1,189836|2,349004
roc|27|1,050915|5,131938|1,421374|0,995551|1,468256|7,031020|1,567110|0,930682|1,468256
roc|28|1,270687|5,781890|1,690858|1,101007|0,928240|7,304489|1,849698|1,130954|0,928240
roc|29|1,431185|5,703071|1,272276|1,058911|1,984242|6,898486|1,293112|1,047705|1,984242
macd|0|1,242123|5,631509|1,329631|1,499050|2,871017|6,627542|1,324899|1,499336|2,871017
