window|hide layer 1|hyde layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|8|15|1,577315|7,440151|9,443700|9,942750|10,358274|12,141859|16,154880|17,180562|10,358274
2|9|1|1,719024|6,013380|6,450795|7,007719|7,493942|11,946135|13,831624|13,457065|7,493942
2|9|2|1,575890|5,212264|7,945314|8,462261|9,197719|11,968077|14,714420|15,143913|9,197719
2|9|3|1,541586|5,231611|7,829076|8,329474|9,063686|11,984514|14,697766|14,918501|9,063686
2|9|4|1,523351|6,360039|8,726616|9,233236|9,891763|12,108845|15,924976|16,937131|9,891763
2|9|5|1,579042|5,789248|8,142712|8,641378|9,301621|12,017826|15,092109|15,604173|9,301621
2|9|6|1,562254|5,009728|7,499585|8,000798|8,613972|11,943491|14,274523|14,503826|8,613972
2|9|7|1,550562|7,248941|10,752936|11,224240|12,206339|11,974498|14,640946|14,908842|12,206339
2|9|8|1,576204|5,405690|7,953562|8,465846|9,276353|11,966925|14,439208|14,558966|9,276353
2|9|9|1,524810|5,760741|8,058837|8,574033|9,262451|12,051739|15,337941|15,889047|9,262451
2|9|10|1,543494|5,071160|7,192584|7,727851|8,403033|11,965396|14,607566|14,902789|8,403033
2|9|11|1,507368|5,849511|7,955727|8,471700|9,089163|12,056973|15,311982|15,804712|9,089163
2|9|12|1,554116|5,888842|7,785779|8,290080|8,774512|12,071134|15,474818|16,184503|8,774512
2|9|13|1,593120|5,575997|7,912545|8,421115|9,174036|11,988621|14,693760|14,918955|9,174036
2|9|14|1,550408|5,604089|8,808991|9,297087|10,019588|11,988214|14,867785|15,308828|10,019588
2|9|15|1,524578|6,293810|9,522089|9,998960|10,700816|11,997833|14,937923|15,364668|10,700816
2|10|1|1,993729|7,040078|8,692516|9,206594|9,666504|12,109413|15,518974|15,874514|9,666504
2|10|2|1,551598|5,427685|7,495405|8,008838|8,649951|12,029013|15,004667|15,265785|8,649951
2|10|3|1,508040|5,832955|8,010354|8,523602|9,207573|12,070121|15,559250|16,277521|9,207573
2|10|4|1,530278|5,550428|7,543957|8,055174|8,662133|12,034888|15,074869|15,404552|8,662133
2|10|5|1,543975|5,671492|7,788355|8,299555|8,965130|12,048046|15,300189|15,820673|8,965130
2|10|6|1,525198|5,487790|8,238889|8,731718|9,552385|11,953156|14,349923|14,512406|9,552385
2|10|7|1,647522|5,593063|8,748288|9,223659|9,871828|12,005358|15,019102|15,467745|9,871828
2|10|8|1,592852|5,547397|8,634189|9,107626|9,679186|12,002252|15,084546|15,674269|9,679186
2|10|9|1,532696|5,045356|7,151140|7,647344|8,259960|11,926634|13,867819|13,828638|8,259960
2|10|10|1,600272|5,211581|7,812642|8,315503|9,073244|11,952834|14,300251|14,406879|9,073244
2|10|11|1,558404|5,089020|7,518382|8,010120|8,666421|11,923614|13,908813|13,995798|8,666421
2|10|12|1,604910|5,339506|8,234772|8,727975|9,532067|11,942410|14,207179|14,388381|9,532067
2|10|13|1,602571|4,822105|7,277029|7,766049|8,342582|11,949606|14,262227|14,330654|8,342582
2|10|14|1,547091|6,016917|7,604692|8,118662|8,601879|12,073721|15,465908|16,129887|8,601879
2|10|15|1,550800|5,115156|7,221969|7,722478|8,371356|11,943698|14,090545|14,061528|8,371356
2|11|1|2,002884|12,229730|16,749717|17,197154|18,546744|12,189916|17,305927|18,405986|18,546744
2|11|2|1,535974|6,555076|8,959196|9,467777|10,120726|12,116740|16,033732|17,149391|10,120726
2|11|3|1,514987|6,231311|9,168786|9,677948|10,493020|12,082475|15,759898|16,644275|10,493020
2|11|4|1,490616|6,050080|8,767982|9,280196|10,041536|12,069459|15,548574|16,241579|10,041536
2|11|5|1,512664|5,673730|8,373784|8,875643|9,634417|12,000913|14,945214|15,383235|9,634417
2|11|6|1,536017|5,688016|7,970399|8,479533|9,148949|12,017330|15,003754|15,396303|9,148949
2|11|7|1,537413|6,856679|9,716450|10,193238|10,989878|11,985310|14,763565|15,097301|10,989878
2|11|8|1,678929|5,495720|8,495934|9,002681|9,946959|11,938302|14,111309|14,207493|9,946959
2|11|9|1,613888|5,884597|8,620149|9,127061|10,022858|11,987648|14,659341|14,844798|10,022858
2|11|10|1,511238|6,189207|8,581609|9,093037|9,766354|12,076378|15,587971|16,320833|9,766354
2|11|11|1,564229|6,736315|8,982570|9,476822|9,990563|12,121231|16,030602|17,154780|9,990563
2|11|12|1,585209|5,759195|8,240424|8,745944|9,398090|12,077317|15,611822|16,383321|9,398090
2|11|13|1,555978|5,081811|7,412319|7,912391|8,643617|11,921792|13,803630|13,777193|8,643617
2|11|14|1,683934|9,429873|12,479737|12,995637|14,178950|12,165183|16,062744|16,563794|14,178950
2|11|15|1,505136|6,206657|8,587345|9,097774|9,763960|12,086878|15,719593|16,574640|9,763960
2|12|1|2,089268|9,162172|13,447061|13,852684|15,291801|11,934299|14,310764|14,791845|15,291801
2|12|2|1,521509|5,441417|8,298831|8,787895|9,535714|11,973859|14,641944|14,928054|9,535714
2|12|3|1,554864|5,523360|8,637603|9,113574|9,789394|11,971315|14,701200|15,107568|9,789394
2|12|4|1,560301|7,842252|12,157934|12,598139|13,405073|12,037822|15,542615|16,266331|13,405073
2|12|5|1,545248|6,218565|8,868392|9,372465|10,074880|12,110907|16,043286|17,182298|10,074880
2|12|6|1,520814|6,294996|9,073139|9,581074|10,331805|12,083147|15,743394|16,621081|10,331805
2|12|7|1,498216|6,199016|8,933241|9,444245|10,208297|12,086841|15,753121|16,608538|10,208297
2|12|8|1,529246|5,927118|7,910043|8,402813|8,897428|12,040201|15,200054|15,714269|8,897428
2|12|9|1,531556|4,918965|6,760565|7,272275|7,922442|11,926048|13,746166|13,534310|7,922442
2|12|10|1,529292|5,503617|8,001573|8,503658|9,235585|11,982325|14,618809|14,808539|9,235585
2|12|11|1,542754|5,830675|9,247996|9,720565|10,386798|11,982395|14,925278|15,499558|10,386798
2|12|12|1,587336|7,205428|9,032730|9,514887|9,880736|12,091127|15,717805|16,541998|9,880736
2|12|13|1,544660|5,363949|8,338910|8,814544|9,492351|11,942383|14,321844|14,636410|9,492351
2|12|14|1,537511|5,431828|7,658885|8,148804|8,752933|11,980744|14,611097|14,806959|8,752933
2|12|15|1,531254|5,493120|7,091355|7,591072|8,120618|11,964824|14,361324|14,435769|8,120618
2|13|1|2,019135|14,107777|18,227220|18,668230|20,320917|12,063593|16,070539|17,029317|20,320917
2|13|2|1,520220|6,107380|8,837043|9,345951|10,095619|12,074398|15,678633|16,533940|10,095619
2|13|3|1,543476|5,189609|7,751109|8,235018|8,870004|11,952436|14,416460|14,690858|8,870004
2|13|4|1,639069|4,987568|7,544941|8,070782|8,991574|11,913205|13,674111|13,612908|8,991574
2|13|5|1,575900|6,089463|8,663666|9,138949|10,000763|11,902746|13,527849|13,518119|10,000763
2|13|6|1,541087|6,470620|9,891217|10,368246|11,207336|11,969785|14,612408|14,908012|11,207336
2|13|7|1,557779|5,259913|7,337431|7,847094|8,545673|11,951367|14,232753|14,273380|8,545673
2|13|8|1,533620|5,519626|7,864214|8,376676|9,077699|12,018664|15,002022|15,348896|9,077699
2|13|9|1,545723|5,452093|8,623439|9,107723|9,823114|11,952141|14,433632|14,754704|9,823114
2|13|10|1,555142|5,664917|8,526838|9,010848|9,649374|11,967299|14,696105|15,172141|9,649374
2|13|11|1,557478|5,465045|8,174476|8,674306|9,250721|11,981157|15,114630|15,901747|9,250721
2|13|12|1,543419|6,115989|8,316862|8,825519|9,468016|12,081195|15,574865|16,274704|9,468016
2|13|13|1,559667|4,936114|6,740535|7,263880|7,989978|11,920212|13,652212|13,424989|7,989978
2|13|14|1,579622|5,379147|8,090357|8,590620|9,320876|11,959642|14,461284|14,715587|9,320876
2|13|15|1,534039|5,442029|7,888256|8,391117|9,097685|11,991506|14,721343|14,941067|9,097685
2|14|1|2,476718|11,854900|15,940103|16,419465|17,837465|12,216196|16,596860|17,315440|17,837465
2|14|2|1,549142|5,817707|7,883119|8,393220|8,973072|12,076240|15,481621|16,095253|8,973072
2|14|3|1,551631|5,638866|7,430722|7,937268|8,463794|11,994304|14,657544|14,817958|8,463794
2|14|4|1,589822|5,210699|7,537437|8,031821|8,902007|11,930264|13,920505|13,787707|8,902007
2|14|5|1,539604|5,577203|7,620364|8,131004|8,786824|12,008063|14,830930|15,060277|8,786824
