rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0,3|1,85|2.0|152,819214|48,302881|36,568797|35,946374|34,365583|56,703171|35,034502|34,618009|34,365583
0,3|1,9|2.0|407,592452|40,793030|23,394475|23,758842|19,775483|37,968459|26,385182|28,946718|19,775483
0,3|1,95|2.0|26,581038|7,214616|4,932978|4,684205|0,754946|49,233684|21,019880|18,049481|0,754946
0,3|2|2.0|1071,606207|25,733936|36,875193|37,328921|39,093854|16,871428|26,500903|27,596330|39,093854
0,3|2,05|2.0|196,950560|49,277280|32,767199|31,804141|31,673397|50,474996|20,630121|25,154801|31,673397
0,3|2,1|2.0|377,952894|26,709834|11,807449|11,362159|9,369803|24,687183|9,889948|9,608954|9,369803
0,3|2,15|2.0|48,096068|16,486278|20,026885|20,313282|23,494488|20,757428|24,760670|18,293913|23,494488
0,3|2,2|2.0|442,377686|74,196800|60,051511|59,661771|57,615119|63,079797|51,280770|52,597758|57,615119
0,3|2,25|2.0|374,368734|69,677755|63,786688|63,091344|61,895423|67,163213|31,836326|45,087642|61,895423
0,3|2,3|2.0|457,901399|12,778962|13,599178|14,135081|15,660651|12,703891|13,589878|14,352745|15,660651
0,3|2,35|2.0|190,275352|50,410851|41,119415|39,735297|41,010418|75,667438|40,255431|41,532136|41,010418
0,3|2,4|2.0|62,608958|29,344995|19,012630|18,150220|17,163199|61,775436|35,562096|26,478473|17,163199
0,3|2,45|2.0|444,397719|16,987109|2,422249|2,782489|4,108013|16,189347|2,375638|2,762799|4,108013
0,3|0|0|149,656572|32,848208|17,049995|16,516830|14,780000|32,848208|17,049995|16,516830|14,780000
0,3|0|0,1|2,935425|3,896660|3,155316|3,884064|5,350599|11,259418|7,635269|6,332259|5,350599
0,3|0|0,2|2,574414|4,061591|2,130537|2,743165|4,022691|17,798779|4,860009|4,704648|4,022691
0,3|0|0,3|2,134460|4,382575|1,788540|2,297100|3,527892|46,293111|3,256042|3,743617|3,527892
0,3|0|0,4|1,910588|4,412243|2,035579|2,610714|3,943418|18,508948|4,066168|4,141816|3,943418
0,3|0|0,5|1,846039|4,260772|2,081885|2,674350|3,997254|16,306334|4,270601|4,275227|3,997254
0,3|0|0,6|1,810059|4,602599|2,339628|2,967515|4,330966|12,387223|5,124458|4,808708|4,330966
0,3|0|0,7|1,782130|4,960722|3,212969|3,908986|5,319466|12,122482|7,538664|6,449785|5,319466
0,3|0|0,8|1,796466|5,320822|3,284996|3,991495|5,339095|11,985983|8,262703|7,030344|5,339095
0,3|0|0,9|1,760144|5,124439|2,791183|3,471113|4,779340|15,443045|7,440522|6,390945|4,779340
0,3|0|1|1,770555|5,112628|2,767264|3,457305|4,704127|16,858933|7,593069|6,546931|4,704127
