window|hide layer|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
7|14|1,555964|5,805017|7,635114|7,986350|8,669386|12,092810|20,244150|17,636713|8,669386
7|15|1,529689|4,376752|6,222684|6,583449|7,235276|11,999949|15,853038|14,178974|7,235276
8|1|2,445688|10,588668|12,721454|13,310843|14,989047|11,961483|15,533672|15,208941|14,989047
8|2|1,506885|4,042385|5,017552|5,475462|6,192699|12,457217|12,898213|11,120761|6,192699
8|3|1,504180|4,035707|4,909343|5,408627|6,064331|12,163688|11,217673|10,314453|6,064331
8|4|1,528221|5,386904|5,879627|6,413263|7,348942|12,160275|14,043446|11,912296|7,348942
8|5|1,528025|4,244962|4,915991|5,372571|6,119585|12,508583|12,537587|10,695773|6,119585
8|6|1,617894|4,021445|3,119527|3,671308|4,469490|12,895157|9,552531|7,586902|4,469490
8|7|1,535836|5,192466|5,713740|6,162543|7,047301|12,507055|14,971576|12,253886|7,047301
8|8|1,531304|3,757903|4,894531|5,365792|6,139349|12,154724|12,095342|10,834774|6,139349
8|9|1,531338|3,851404|4,875458|5,337606|6,049361|12,161304|12,499302|11,161729|6,049361
8|10|1,539075|4,891839|6,032929|6,514823|7,379585|12,214467|13,658107|12,076448|7,379585
8|11|1,530788|4,362575|5,512455|6,013389|6,970699|12,238862|14,622676|12,489593|6,970699
8|12|1,526733|3,966753|5,184483|5,644452|6,312848|12,023816|12,707052|11,481821|6,312848
8|13|1,518897|4,748044|6,010222|6,479284|7,428133|12,180408|14,017419|12,408263|7,428133
8|14|1,657238|6,530407|6,978962|7,480167|8,050411|11,907125|15,122068|14,337576|8,050411
8|15|1,563222|5,315032|6,008867|6,463489|7,165271|12,210603|17,206483|14,063546|7,165271
