rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0,3|2,05|2.0|164,737370|29,835587|33,727111|34,292081|35,872258|33,148348|36,786945|37,428495|35,872258
0,3|2,1|2.0|40,688410|12,765200|16,381153|17,026424|18,200483|14,241529|23,192621|25,329741|18,200483
0,3|2,15|2.0|170,138596|8,564508|2,676995|2,109146|0,159950|9,359663|2,883423|2,296530|0,159950
0,3|2,2|2.0|83,108239|14,392280|16,989373|17,542700|19,611483|22,588456|17,595189|16,961174|19,611483
0,3|2,25|2.0|125,996255|25,812017|29,630646|30,179344|31,973598|23,912127|26,647229|30,041429|31,973598
0,3|2,3|2.0|222,556565|34,397415|38,846152|39,363869|41,054978|28,005347|33,577846|34,168835|41,054978
0,3|2,35|2.0|175,651622|30,867429|34,927454|35,477239|37,198015|31,467141|35,225076|35,632395|37,198015
0,3|2,4|2.0|15,867428|4,290413|2,301066|2,690461|4,198227|5,837093|2,297015|2,688765|4,198227
0,3|2,45|2.0|34,909586|14,328952|16,811699|17,928829|16,809930|21,011143|25,150431|26,603002|16,809930
0,3|0|0|43,180359|13,818399|17,685519|18,196978|19,875000|13,818399|17,685519|18,196978|19,875000
0,3|0|0,1|39,767607|13,164600|16,872382|17,398434|19,057567|13,926612|17,454014|17,823774|19,057567
0,3|0|0,2|1,759417|3,007285|2,446335|2,923758|4,445687|4,915840|3,012506|3,344905|4,445687
0,3|0|0,3|1,352390|2,719984|2,256753|2,744509|4,201318|5,423617|3,083277|3,440097|4,201318
0,3|0|0,4|1,115436|2,685048|1,812207|2,250228|3,643467|5,795480|2,244145|2,756381|3,643467
0,3|0|0,5|1,062787|2,750252|1,581788|1,949077|3,315801|5,981997|1,759784|2,276302|3,315801
0,3|0|0,6|0,963430|2,943082|1,384207|1,630257|2,873827|6,453559|1,306323|1,714987|2,873827
0,3|0|0,7|0,958038|2,988721|1,378769|1,617661|2,861978|6,277377|1,288743|1,667644|2,861978
0,3|0|0,8|0,914903|3,218455|1,357266|1,573439|2,817014|6,366199|1,256908|1,568756|2,817014
0,3|0|0,9|0,918168|3,178843|1,359266|1,570395|2,794872|6,386203|1,250795|1,560040|2,794872
0,3|0|1|0,906237|3,324675|1,314928|1,477134|2,637531|6,701360|1,229061|1,469500|2,637531
0,3|0|1,1|0,913114|3,507359|1,329973|1,531014|2,818524|6,501843|1,244168|1,523735|2,818524
0,3|0|1,2|0,937413|3,572704|1,344486|1,557646|2,848456|6,341970|1,256600|1,525843|2,848456
0,3|0|1,3|0,867485|3,633767|1,341720|1,560201|2,884144|6,474855|1,268510|1,565647|2,884144
0,3|0|1,4|0,914991|3,937486|1,453218|1,743740|3,061949|6,245069|1,366091|1,673335|3,061949
0,3|0|1,5|0,982070|5,045692|1,311831|1,495055|2,741032|6,433040|1,276841|1,470187|2,741032
0,3|0|1,6|1,008690|4,250953|1,251817|1,320153|2,419158|13,893155|1,207882|1,289242|2,419158
0,3|0|1,7|1,010390|4,594251|1,360903|1,587205|2,867636|6,385425|1,310074|1,547510|2,867636
0,3|0|1,8|1,011019|4,672334|1,333822|1,527824|2,690930|6,509696|1,281548|1,477058|2,690930
0,3|0|1,9|0,990846|4,839148|1,291485|1,391918|2,520689|9,275849|1,203381|1,293670|2,520689
0,3|0|2|1,078970|5,234199|1,236329|1,085039|1,968320|12,845570|1,266406|1,057989|1,968320
0,3|0|2,1|1,071511|5,304998|1,260060|1,359753|2,474248|16,679800|1,227827|1,330412|2,474248
0,3|0|2,2|1,007177|4,789407|1,335840|1,373637|2,196644|7,075343|1,293932|1,174339|2,196644
0,3|0|2,3|1,233473|6,624800|1,228668|1,152741|2,061623|7,934193|1,222701|1,158548|2,061623
0,3|0|2,4|1,191161|6,411000|1,316590|1,496100|2,839472|6,312084|1,306578|1,473573|2,839472
0,3|0|2,5|1,034935|5,210637|1,337940|1,472513|2,444543|6,909026|1,265746|1,311972|2,444543
0,3|0|2,6|1,099110|5,434103|1,255200|1,370337|2,644052|6,154051|1,203806|1,311194|2,644052
0,3|0|2,7|1,359626|5,822521|1,301376|1,352450|2,205403|7,366154|1,267938|1,203155|2,205403
0,3|0|2,8|1,288204|6,662667|1,316158|1,494209|2,797076|6,674334|1,318953|1,501174|2,797076
0,3|0|2,9|1,217674|6,421892|1,299914|1,467951|2,717648|10,876371|1,288743|1,464610|2,717648
0,3|0|3|1,092685|5,712906|1,222298|1,190051|2,252234|6,356395|1,190557|1,117439|2,252234
0,3|0|3,1|3,442025|5,644226|1,326645|1,503450|2,613944|7,111786|1,269346|1,414098|2,613944
0,3|0|3,2|1,092014|6,922056|1,215718|1,233926|2,302654|15,534411|1,216619|1,261522|2,302654
0,3|0|3,3|1,600327|6,397312|1,341645|1,547396|2,937553|6,395286|1,277735|1,428975|2,937553
0,3|0|3,4|1,829875|6,050856|1,234768|1,329770|2,523545|8,509176|1,241672|1,353934|2,523545
0,3|0|3,5|5,050321|7,430953|1,216000|1,266560|2,386787|8,948971|1,223747|1,300081|2,386787
0,3|0|3,6|14,423309|7,011990|1,239623|1,350322|2,603724|6,973100|1,239623|1,350322|2,603724
0,3|0|3,7|68,387020|10,348568|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|3,8|72,669199|9,991853|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|3,9|68,662442|10,348568|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4|77,168839|11,212145|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,1|70,264091|10,383737|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,2|70,704707|10,176495|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,3|230,144056|34,679855|39,118849|39,636836|41,329999|29,079365|32,666573|35,765851|41,329999
0,3|0|4,4|73,847918|11,212145|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,5|73,150601|9,991855|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,6|186,257816|9,991853|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,7|78,939898|11,212145|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,8|69,924779|10,383739|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
0,3|0|4,9|75,200037|9,991855|3,988073|3,437333|1,580000|9,991855|3,988073|3,437333|1,580000
