window|hide layer 1|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
8|3|0,825724|3,481849|1,368970|1,463464|2,230409|6,618998|1,372814|1,647855|2,230409
8|4|0,821980|2,672696|1,318106|1,420007|2,017164|6,711187|1,283840|1,641581|2,017164
8|5|0,977146|3,956153|1,255876|1,394593|2,396123|6,665373|1,251648|1,500936|2,396123
8|6|0,809946|3,373003|1,333964|1,505802|2,401029|6,644548|1,314102|1,654739|2,401029
8|7|0,941132|4,154564|1,324236|1,449909|2,389084|6,628704|1,382562|1,635726|2,389084
8|8|0,821818|3,011838|1,316474|1,457847|1,971167|6,813792|1,204226|1,668679|1,971167
8|9|0,936673|4,238469|1,385530|1,485533|2,271458|6,635203|1,413194|1,761866|2,271458
8|10|0,886495|3,748546|1,339333|1,537470|2,440607|6,626652|1,330344|1,663215|2,440607
8|11|0,882139|3,445447|1,375307|1,587402|2,356072|6,622144|1,353619|1,764828|2,356072
8|12|0,965001|4,409129|1,294303|1,445831|2,640754|6,636794|1,294069|1,499438|2,640754
8|13|0,851669|3,318679|1,328341|1,488083|2,234875|6,653354|1,312342|1,693649|2,234875
8|14|0,945107|3,816897|1,290547|1,481443|2,612401|6,615540|1,299063|1,602679|2,612401
8|15|0,995940|4,390984|1,303558|1,452905|2,582025|6,627238|1,305392|1,534051|2,582025
8|16|0,931202|4,760293|1,313255|1,520213|2,659745|6,575071|1,316889|1,606878|2,659745
8|17|1,139657|4,884124|1,297689|1,482190|2,707481|6,592584|1,297660|1,518017|2,707481
8|18|0,949736|3,787588|1,295809|1,464109|2,691985|6,615533|1,310294|1,542298|2,691985
8|19|1,027956|4,818077|1,303608|1,490844|2,667610|6,598905|1,307240|1,573771|2,667610
8|20|0,896669|4,266844|1,481305|1,513272|2,284734|6,602773|1,475074|1,770756|2,284734
9|1|1,271334|6,114134|1,241457|1,347143|2,568674|6,733432|1,240252|1,358319|2,568674
9|2|0,800789|2,904939|1,312335|1,536441|2,313328|6,667420|1,271327|1,756404|2,313328
9|3|0,828893|3,130752|1,297458|1,484634|2,327224|6,697892|1,253877|1,623213|2,327224
9|4|0,838944|3,703000|1,264435|1,489387|2,451887|6,662185|1,236256|1,567362|2,451887
9|5|0,866015|3,786332|1,262750|1,453107|2,401574|6,657029|1,277851|1,593652|2,401574
9|6|0,906231|3,523453|1,235356|1,495090|2,386345|6,701306|1,238815|1,720762|2,386345
9|7|0,802444|3,128004|1,207900|1,442313|2,218499|6,763037|1,186788|1,673404|2,218499
9|8|0,828012|3,406528|1,284161|1,423245|2,264902|6,631318|1,297601|1,581485|2,264902
9|9|0,836665|3,316878|1,408916|1,658692|2,308259|6,576066|1,336591|1,765271|2,308259
9|10|0,901691|4,353321|1,268619|1,477118|2,666096|6,601186|1,282632|1,531433|2,666096
9|11|0,888788|3,834908|1,268793|1,516224|2,502513|6,663821|1,254499|1,629158|2,502513
9|12|0,996417|4,841328|1,299904|1,467060|2,737410|6,609519|1,305372|1,488193|2,737410
9|13|0,850261|3,940802|1,298180|1,558136|2,569339|6,608273|1,269711|1,602533|2,569339
9|14|0,857270|3,536346|1,298631|1,570260|2,435649|6,622982|1,275975|1,718139|2,435649
9|15|0,890947|3,962380|1,323267|1,541372|2,335131|6,608582|1,314665|1,661921|2,335131
9|16|0,835295|3,723165|1,275804|1,508639|2,355196|6,635003|1,303927|1,678697|2,355196
9|17|0,866358|3,646368|1,280644|1,514524|2,278248|6,625826|1,288918|1,741394|2,278248
9|18|0,912966|4,107968|1,320223|1,557925|2,525495|6,565946|1,342722|1,727639|2,525495
9|19|0,931031|4,089521|1,249928|1,506468|2,640138|6,631845|1,254316|1,584574|2,640138
9|20|1,158229|5,333843|1,620922|1,471297|2,368977|6,583718|1,721001|1,622283|2,368977
