window|hide layer 1|hide layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|7|2|0,980437|3,133404|1,257613|1,378872|2,372029|6,706818|1,253448|1,502533|2,372029
2|7|3|0,864504|2,654436|1,418529|1,571113|1,930105|6,795724|1,272467|1,823816|1,930105
2|7|4|1,033689|3,272234|1,428417|1,550264|1,540083|6,937317|1,246534|1,760917|1,540083
2|7|5|0,864801|3,225957|1,305918|1,446049|2,238238|6,669021|1,287145|1,617154|2,238238
2|7|6|0,803552|2,822171|1,362109|1,490242|1,847746|6,800994|1,252105|1,710393|1,847746
2|7|7|1,695582|6,085505|1,254805|1,382418|2,650647|6,702767|1,254795|1,382677|2,650647
2|7|8|0,911428|3,173372|1,301202|1,433714|2,284350|6,641021|1,309240|1,583083|2,284350
2|7|9|0,857139|2,824448|1,305736|1,427003|2,062788|6,727469|1,263481|1,630075|2,062788
2|7|10|1,014926|2,830346|1,452154|1,603110|1,581498|6,870729|1,256735|1,928260|1,581498
2|7|11|0,999559|4,050511|1,301112|1,450023|2,495896|6,626139|1,310241|1,544259|2,495896
2|7|12|1,049632|3,964200|1,271087|1,414925|2,547601|6,655044|1,279773|1,489289|2,547601
2|7|13|0,947618|2,583319|1,322641|1,434026|1,894091|6,779464|1,250725|1,667238|1,894091
2|7|14|0,926642|2,666097|1,413010|1,561761|1,719130|6,806453|1,260608|1,890247|1,719130
2|7|15|1,170186|3,591512|1,272955|1,421828|2,617228|6,657991|1,276151|1,469390|2,617228
2|7|16|1,019142|3,949000|1,264543|1,395592|2,460689|6,671345|1,274073|1,487426|2,460689
2|7|17|0,910287|3,374448|1,287285|1,433300|2,411538|6,633388|1,298409|1,572275|2,411538
2|7|18|0,863957|3,192114|1,302477|1,440574|2,262221|6,670803|1,286579|1,592154|2,262221
2|7|19|1,635323|4,991772|1,265127|1,407418|2,683083|6,691787|1,256414|1,406291|2,683083
2|7|20|0,889266|2,908073|1,295352|1,427686|2,201553|6,684903|1,275961|1,621704|2,201553
2|8|1|1,159002|3,384321|1,328902|1,468857|2,210987|6,759887|1,249906|1,572469|2,210987
2|8|2|1,176048|5,042252|1,230914|1,330138|2,550013|6,752730|1,231602|1,338391|2,550013
2|8|3|0,885383|2,563494|1,324977|1,456816|2,033194|6,732673|1,263023|1,687651|2,033194
2|8|4|0,896991|2,409488|1,509723|1,700885|1,668481|6,868638|1,268085|2,030484|1,668481
2|8|5|0,919937|2,527474|1,396713|1,548788|1,835059|6,794065|1,256768|1,834774|1,835059
2|8|6|0,884526|3,070314|1,284401|1,408231|2,222196|6,723374|1,254787|1,574286|2,222196
2|8|7|0,900942|2,733947|1,302191|1,430935|2,143320|6,719450|1,261714|1,629317|2,143320
2|8|8|0,912737|2,801030|1,364345|1,479526|1,742010|6,879291|1,229974|1,751201|1,742010
2|8|9|1,006895|2,431979|1,424983|1,596610|1,872941|6,711098|1,301913|1,835050|1,872941
2|8|10|0,927662|3,404656|1,281011|1,413952|2,358480|6,674368|1,278073|1,536488|2,358480
2|8|11|0,902587|2,745913|1,296807|1,426415|2,149634|6,683044|1,278239|1,649406|2,149634
2|8|12|1,249199|5,047670|1,284992|1,441121|2,705602|6,643554|1,287808|1,456029|2,705602
2|8|13|0,909630|2,789252|1,326839|1,449365|1,950033|6,757463|1,256579|1,689345|1,950033
2|8|14|0,917080|2,496582|1,415884|1,580559|1,847007|6,735781|1,287300|1,847097|1,847007
2|8|15|1,037032|4,566519|1,305801|1,464621|2,564780|6,606776|1,319727|1,548196|2,564780
2|8|16|0,973508|3,081908|1,281896|1,415459|2,311950|6,667121|1,280404|1,579273|2,311950
2|8|17|1,111846|3,059185|1,293139|1,421349|2,187806|6,668231|1,288059|1,609216|2,187806
2|8|18|0,869513|2,765458|1,310737|1,454140|2,225887|6,658433|1,293529|1,638714|2,225887
2|8|19|1,023961|2,787782|1,293428|1,425282|2,192717|6,666674|1,285389|1,639828|2,192717
2|8|20|0,871701|2,768095|1,441353|1,620571|2,183067|6,618999|1,365492|1,778206|2,183067
2|9|1|1,719341|6,448307|1,279204|1,429646|2,718673|6,658695|1,279211|1,429875|2,718673
2|9|2|0,877226|2,241463|1,343389|1,464485|1,898336|6,835439|1,232497|1,718812|1,898336
2|9|3|0,836456|2,468095|1,508837|1,702023|1,739565|6,749288|1,320111|1,952454|1,739565
2|9|4|0,949150|2,775538|1,463682|1,630389|1,649517|6,856476|1,258669|1,974014|1,649517
2|9|5|0,849405|2,459776|1,398366|1,539811|1,765129|6,813479|1,256661|1,833844|1,765129
2|9|6|0,972489|3,889417|1,306524|1,466585|2,538882|6,610485|1,316358|1,558785|2,538882
2|9|7|0,836593|2,119665|1,424880|1,587575|1,789582|6,805155|1,260437|1,888521|1,789582
2|9|8|0,843540|2,334929|1,344978|1,486326|2,021159|6,740344|1,263735|1,711975|2,021159
2|9|9|0,982953|2,892708|1,427246|1,562491|1,572163|6,876216|1,250212|1,877857|1,572163
2|9|10|0,863867|2,848438|1,433568|1,583010|1,812625|6,792838|1,286419|1,733779|1,812625
2|9|11|0,864607|2,392675|1,350444|1,477056|1,913499|6,837545|1,231946|1,749266|1,913499
2|9|12|0,939214|2,664427|1,349507|1,492827|1,998730|6,713487|1,278680|1,722796|1,998730
2|9|13|0,861785|2,366576|1,283102|1,398678|2,135722|6,763326|1,236342|1,629100|2,135722
2|9|14|1,160519|4,797607|1,283075|1,439635|2,659930|6,638082|1,289545|1,478581|2,659930
2|9|15|0,901232|2,943844|1,363906|1,476627|1,721577|6,861560|1,237412|1,729017|1,721577
2|9|16|0,820750|2,257709|1,409401|1,562174|1,790446|6,813844|1,254754|1,856138|1,790446
2|9|17|0,913173|2,886254|1,303392|1,436142|2,148705|6,668389|1,288941|1,649981|2,148705
2|9|18|0,828648|2,039350|1,438208|1,599966|1,720198|6,835165|1,255540|1,933140|1,720198
2|9|19|0,920311|3,508513|1,289580|1,430380|2,345843|6,649250|1,292067|1,580059|2,345843
2|9|20|2,257591|6,468874|1,271183|1,414555|2,697620|6,672605|1,271168|1,414593|2,697620
2|10|1|1,279381|4,889274|1,238091|1,349385|2,575711|6,750265|1,228593|1,354800|2,575711
2|10|2|0,903480|2,562503|1,318613|1,447254|2,159278|6,781457|1,240437|1,599427|2,159278
2|10|3|0,878446|2,417237|1,422753|1,589034|1,868321|6,806373|1,259048|1,802828|1,868321
2|10|4|0,894481|2,921104|1,437910|1,574621|1,583917|6,913859|1,248297|1,813262|1,583917
2|10|5|0,929375|2,954197|1,365081|1,485167|1,775328|6,857781|1,235160|1,743726|1,775328
2|10|6|0,915710|2,862863|1,327577|1,436488|1,879115|6,814411|1,240265|1,648769|1,879115
2|10|7|0,945271|3,055564|1,281168|1,397793|2,141450|6,733355|1,250116|1,618985|2,141450
2|10|8|0,879790|2,781297|1,411447|1,553576|1,716161|6,833615|1,255829|1,801463|1,716161
2|10|9|0,891278|3,520159|1,287124|1,433986|2,454632|6,636981|1,296502|1,548893|2,454632
2|10|10|2,116802|6,337080|1,262070|1,397018|2,671569|6,688933|1,262053|1,397421|2,671569
2|10|11|1,089468|4,606898|1,300671|1,461886|2,603421|6,610250|1,313394|1,533389|2,603421
2|10|12|1,473511|5,083618|1,257833|1,390788|2,644046|6,695272|1,257065|1,399050|2,644046
2|10|13|0,998594|3,162425|1,336821|1,474377|2,007572|6,689088|1,288895|1,719414|2,007572
2|10|14|0,974780|3,118493|1,272135|1,409952|2,408800|6,669927|1,271765|1,550185|2,408800
2|10|15|0,937309|2,798744|1,387000|1,536731|1,880015|6,748277|1,275362|1,790182|1,880015
2|10|16|0,905849|3,343102|1,296971|1,434346|2,248379|6,651136|1,295291|1,616411|2,248379
2|10|17|0,951614|3,296249|1,293772|1,422834|2,208733|6,684021|1,278870|1,593953|2,208733
2|10|18|0,872093|2,261402|1,432045|1,593029|1,755008|6,823064|1,258430|1,895964|1,755008
2|10|19|0,860484|2,857734|1,380017|1,514513|1,833471|6,800477|1,258968|1,706797|1,833471
2|10|20|2,289032|6,396280|1,271501|1,415185|2,698360|6,672024|1,271480|1,415294|2,698360
2|11|1|1,467271|5,253172|1,287919|1,446882|2,674536|6,634539|1,292827|1,480986|2,674536
2|11|2|0,887964|2,552832|1,465471|1,635660|1,691749|6,847679|1,262845|1,922949|1,691749
2|11|3|0,827266|3,100508|1,322700|1,453214|2,048799|6,730136|1,264660|1,666218|2,048799
2|11|4|0,861024|3,017151|1,315775|1,397566|1,838456|6,935731|1,211499|1,551916|1,838456
2|11|5|0,915735|2,351578|1,423099|1,576535|1,744667|6,874941|1,239249|1,890891|1,744667
2|11|6|0,849161|2,997534|1,342242|1,454443|1,882495|6,873884|1,224831|1,640867|1,882495
2|11|7|0,900980|2,678087|1,316215|1,437871|1,999742|6,751013|1,255185|1,673349|1,999742
2|11|8|0,891215|2,815234|1,382412|1,509192|1,755440|6,854765|1,242436|1,737453|1,755440
2|11|9|0,830873|3,337107|1,303866|1,420855|2,086764|6,741526|1,259479|1,577422|2,086764
2|11|10|0,924805|3,622540|1,298940|1,448042|2,391102|6,629025|1,305325|1,587553|2,391102
2|11|11|1,016140|4,069113|1,303356|1,469466|2,632627|6,605091|1,314962|1,535687|2,632627
2|11|12|0,888961|2,897779|1,305246|1,447727|2,271449|6,660064|1,291259|1,611174|2,271449
2|11|13|0,864815|3,117979|1,298939|1,443212|2,309717|6,641029|1,299092|1,611028|2,309717
2|11|14|1,227072|5,184928|1,275073|1,420995|2,663259|6,660665|1,278662|1,440594|2,663259
2|11|15|0,912530|2,781656|1,280955|1,407678|2,233387|6,700882|1,262765|1,601294|2,233387
2|11|16|1,030808|4,025482|1,280504|1,425888|2,510207|6,638038|1,294494|1,517775|2,510207
2|11|17|0,860150|2,389442|1,371262|1,508761|1,839697|6,764328|1,266197|1,771344|1,839697
2|11|18|0,917127|2,727288|1,321241|1,443431|1,975794|6,751313|1,257069|1,682945|1,975794
2|11|19|1,146856|5,416765|1,264575|1,399085|2,583544|6,673653|1,272355|1,439790|2,583544
2|11|20|0,903132|2,657560|1,414410|1,554014|1,688212|6,853849|1,251276|1,811293|1,688212
2|12|1|2,376724|6,244346|1,338819|1,525734|2,819126|6,581905|1,333590|1,530008|2,819126
2|12|2|1,645539|6,244758|1,227100|1,321608|2,559405|6,762753|1,227095|1,321769|2,559405
2|12|3|0,889010|2,866428|1,363667|1,479013|1,806813|6,866105|1,237538|1,642082|1,806813
2|12|4|0,869277|2,682189|1,441234|1,600351|1,736424|6,860000|1,252376|1,869682|1,736424
2|12|5|0,959699|2,826123|1,426043|1,578291|1,718117|6,835412|1,255300|1,883438|1,718117
2|12|6|0,976222|3,207715|1,459732|1,608675|1,529447|6,883248|1,256976|1,951383|1,529447
2|12|7|0,952383|3,482774|1,279829|1,432642|2,552735|6,635351|1,290297|1,523427|2,552735
2|12|8|0,974334|2,757113|1,383053|1,477759|1,583229|7,092380|1,207575|1,836746|1,583229
2|12|9|0,851317|2,793618|1,314412|1,382754|1,775159|6,971413|1,210671|1,529066|1,775159
2|12|10|1,033226|3,762849|1,277447|1,424734|2,551205|6,646253|1,286520|1,500616|2,551205
2|12|11|0,905846|2,672739|1,317529|1,451932|2,101787|6,699540|1,276694|1,660433|2,101787
2|12|12|0,914719|2,920429|1,296071|1,426571|2,163732|6,680301|1,279144|1,645156|2,163732
2|12|13|0,948453|3,162673|1,394749|1,496628|1,569515|6,975001|1,231791|1,692120|1,569515
2|12|14|0,834868|3,009795|1,291424|1,419395|2,215280|6,700494|1,268723|1,586082|2,215280
2|12|15|0,896780|2,888132|1,289630|1,408355|2,124423|6,717630|1,262375|1,609011|2,124423
2|12|16|0,898540|3,321893|1,273004|1,408596|2,389927|6,667022|1,275865|1,545284|2,389927
2|12|17|1,019939|3,853995|1,293662|1,444189|2,440538|6,619988|1,308306|1,574347|2,440538
2|12|18|0,946996|2,913323|1,446815|1,595278|1,592710|6,847343|1,265524|1,866954|1,592710
2|12|19|0,896129|2,794758|1,328915|1,435362|1,870218|6,851126|1,228207|1,653412|1,870218
2|12|20|0,866772|2,557081|1,324584|1,434296|1,890316|6,816342|1,237001|1,664590|1,890316
2|13|1|1,750446|5,878135|1,292248|1,455034|2,746940|6,635233|1,292383|1,459540|2,746940
2|13|2|0,884873|2,457225|1,493205|1,701737|1,924820|6,725832|1,310617|1,880548|1,924820
2|13|3|0,916205|2,859449|1,335915|1,456320|1,903604|6,782762|1,250770|1,690202|1,903604
2|13|4|0,892459|2,972972|1,439091|1,579305|1,591942|6,898360|1,250216|1,835926|1,591942
2|13|5|1,008998|4,640850|1,276402|1,417542|2,549969|6,652302|1,286936|1,481966|2,549969
2|13|6|1,001091|3,452821|1,274904|1,412087|2,407672|6,667261|1,276155|1,538481|2,407672
2|13|7|1,020225|4,535266|1,306398|1,476346|2,653619|6,597811|1,318889|1,540604|2,653619
2|13|8|0,919127|2,964810|1,265863|1,369819|2,194568|6,801513|1,218264|1,555569|2,194568
2|13|9|0,797746|2,894867|1,326905|1,454555|2,030184|6,730917|1,269303|1,635415|2,030184
2|13|10|0,957595|2,796772|1,465888|1,640113|1,690816|6,814739|1,271145|1,976607|1,690816
2|13|11|0,980976|4,075988|1,396642|1,523628|1,693109|6,858938|1,247825|1,768735|1,693109
2|13|12|1,014272|3,693455|1,279840|1,427886|2,482737|6,636843|1,291598|1,544974|2,482737
2|13|13|0,917969|2,997369|1,371083|1,465721|1,633667|6,930946|1,234932|1,623752|1,633667
2|13|14|0,911987|2,879338|1,358976|1,468875|1,738932|6,878449|1,231098|1,719615|1,738932
2|13|15|0,930883|3,283035|1,271291|1,409978|2,411416|6,657299|1,278577|1,553402|2,411416
2|13|16|1,882136|6,289817|1,270584|1,413367|2,695855|6,673605|1,270638|1,413471|2,695855
2|13|17|1,387247|5,520747|1,259583|1,394519|2,651830|6,692187|1,258530|1,401804|2,651830
2|13|18|0,936905|3,147502|1,356629|1,485077|1,885882|6,738269|1,279476|1,681623|1,885882
2|13|19|0,956767|3,320738|1,289388|1,420687|2,248022|6,660266|1,290092|1,592035|2,248022
2|13|20|0,800110|2,431514|1,345583|1,472113|1,905321|6,754272|1,266152|1,686622|1,905321
2|14|1|1,383311|5,266671|1,275811|1,426302|2,658950|6,655713|1,278724|1,454581|2,658950
2|14|2|0,894937|2,684661|1,388968|1,535144|1,879448|6,771132|1,269914|1,725192|1,879448
2|14|3|0,951529|2,564898|1,418301|1,580428|1,867347|6,832802|1,248194|1,821960|1,867347
2|14|4|1,301915|5,373628|1,271221|1,413585|2,665218|6,669824|1,273404|1,426917|2,665218
2|14|5|0,896821|2,919034|1,421123|1,557207|1,684515|6,882700|1,251063|1,730851|1,684515
2|14|6|0,977849|3,218079|1,328560|1,456706|2,009271|6,753421|1,257191|1,668073|2,009271
2|14|7|0,969603|2,272669|1,382539|1,517850|1,791664|6,864988|1,230947|1,869890|1,791664
2|14|8|0,977198|3,226011|1,437397|1,575223|1,575751|6,882883|1,255075|1,832835|1,575751
2|14|9|0,899933|3,023737|1,355130|1,452856|1,715536|6,906217|1,230321|1,630358|1,715536
2|14|10|0,951048|3,925038|1,271727|1,408010|2,439324|6,659965|1,280681|1,518673|2,439324
2|14|11|0,962989|3,524851|1,315557|1,465564|2,309220|6,612898|1,323210|1,630115|2,309220
