window|hide layer 1|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
8|12|1,419817|21,284709|28,243597|29,402482|31,062070|22,674928|29,761479|30,106940|31,062070
8|13|1,083900|16,349371|16,651445|18,803968|20,816753|22,566664|23,702916|21,353089|20,816753
8|14|1,390352|16,031914|17,044849|19,084465|21,273583|22,410366|24,852708|21,321980|21,273583
8|15|1,055852|16,963125|15,916259|18,644946|21,234701|22,688813|20,085559|16,238254|21,234701
8|16|0,981510|16,131370|15,662081|18,036350|20,343058|22,601368|21,444927|18,408306|20,343058
8|17|0,986008|17,729567|20,361967|22,287674|23,975178|22,420945|26,313372|24,659319|23,975178
8|18|1,483043|14,626349|14,657551|16,730458|18,708038|22,610053|18,777589|16,177545|18,708038
8|19|0,956266|18,119339|22,419048|23,839894|25,636441|22,242487|30,657006|28,748918|25,636441
8|20|1,207562|14,423533|12,456360|14,528613|16,438742|22,753547|19,698489|18,062222|16,438742
9|1|2,353974|9,960864|4,423662|2,110721|0,042188|25,212563|5,928079|2,273329|0,042188
9|2|1,278562|21,156219|28,489583|29,394550|31,197915|22,718262|28,633151|27,711503|31,197915
9|3|0,893629|12,669391|7,930149|9,225500|11,094782|22,590133|12,409958|8,814812|11,094782
9|4|1,198608|21,759678|29,281513|30,186735|31,849045|23,000807|31,279673|30,938688|31,849045
9|5|1,091819|17,808635|19,957111|21,322585|23,161174|21,794004|21,774461|19,003751|23,161174
9|6|1,009213|21,512157|29,411074|30,157461|31,881940|22,864347|30,859432|30,756544|31,881940
9|7|1,137497|14,012982|8,555612|10,214125|12,358250|22,088336|11,815210|7,519230|12,358250
9|8|1,135911|15,382169|8,257861|9,269190|10,677256|22,853085|11,072202|5,945447|10,677256
9|9|1,035197|19,610853|24,964480|26,016590|27,686649|22,712476|27,618135|27,404158|27,686649
9|10|1,381149|21,019782|28,599817|29,494993|31,192027|22,550965|30,700723|30,667515|31,192027
9|11|1,432511|21,222737|29,626027|30,446016|32,183130|22,582544|33,263317|32,618375|32,183130
9|12|1,102629|20,317342|24,496806|25,865479|27,904787|22,940498|21,633274|20,883431|27,904787
9|13|1,133714|18,298202|15,579890|17,812264|20,745367|22,521991|16,867080|10,845235|20,745367
9|14|1,161671|15,209583|16,449584|18,032588|19,606458|22,297179|26,660840|24,697076|19,606458
9|15|1,393943|10,857625|4,359636|6,013069|7,515481|22,356327|7,285905|8,736514|7,515481
9|16|0,962105|15,597205|14,916158|17,015913|19,010210|22,330161|22,321014|17,940401|19,010210
9|17|1,319851|19,276107|26,143111|27,238817|29,023584|22,407959|31,882127|30,659108|29,023584
9|18|1,299491|17,372915|19,841079|21,741450|23,218058|22,219983|30,932600|28,598577|23,218058
9|19|1,246951|15,014765|4,679183|4,689520|6,997516|22,220953|5,653621|3,032331|6,997516
9|20|1,056243|17,250633|9,004974|8,906435|10,105800|22,406298|13,382367|5,841151|10,105800
