window|hide layer 1|hide layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
2|6|17|0,765505|13,349915|13,499932|14,514291|15,491263|23,209538|29,557600|27,506928|15,491263
2|6|18|0,749785|6,450403|5,106193|5,820082|6,043578|22,850104|25,748504|20,673864|6,043578
2|6|19|0,859147|7,434732|5,335476|6,126827|6,873428|22,943051|25,378229|19,763940|6,873428
2|6|20|0,689692|6,071332|3,968308|4,659054|4,787451|22,685363|24,724211|19,153249|4,787451
2|7|1|1,158715|16,291085|21,641150|22,330243|23,647211|22,927807|30,686259|29,668531|23,647211
2|7|2|0,941000|7,282511|4,586101|5,268876|6,000821|22,029147|24,636423|19,139348|6,000821
2|7|3|0,875346|10,130009|6,857714|7,848214|8,660183|22,235194|26,561135|23,050821|8,660183
2|7|4|0,913797|5,839602|4,559045|5,282389|5,845465|23,022040|23,785768|17,258315|5,845465
2|7|5|0,945919|5,921363|2,981827|3,646642|4,477096|22,116093|19,493197|12,771947|4,477096
2|7|6|0,801556|8,193109|4,987415|5,788991|6,178092|23,093725|26,032506|21,243446|6,178092
2|7|7|0,839500|8,903610|7,235421|8,057880|8,321038|22,957405|27,716001|24,338155|8,321038
2|7|8|0,795714|7,718527|4,203002|4,987056|5,422340|23,029594|25,254638|19,957300|5,422340
2|7|9|0,859765|10,009802|8,328547|9,297015|10,364180|22,908153|26,996164|22,862339|10,364180
2|7|10|0,889649|7,842110|7,336934|8,090894|8,698448|23,025299|26,740494|22,192027|8,698448
2|7|11|0,774995|5,206569|5,326263|5,992339|6,372435|22,666603|23,854157|18,043740|6,372435
2|7|12|0,762996|7,886451|7,545681|8,377565|9,201746|22,367731|26,317926|21,956072|9,201746
2|7|13|0,829898|12,468131|11,533725|12,599309|13,790320|23,090686|28,616877|25,821736|13,790320
2|7|14|0,742275|8,381470|7,063426|7,908588|8,433479|22,810245|27,109989|23,275288|8,433479
2|7|15|1,134020|6,148382|2,079482|2,645959|2,868295|22,674707|18,362800|11,666468|2,868295
2|7|16|0,802626|10,329915|7,924183|8,868047|9,770050|23,011927|27,481511|23,794369|9,770050
2|7|17|0,881368|9,008862|7,653989|8,577940|9,859932|22,899621|25,814592|20,485483|9,859932
2|7|18|0,785269|8,329181|5,826257|6,626191|7,071911|23,273169|26,588807|21,783442|7,071911
2|7|19|0,836408|8,337264|6,158070|6,981168|7,837172|22,846597|25,677548|20,333294|7,837172
2|7|20|0,860737|16,066773|18,209096|19,299633|20,956797|23,015127|29,901358|28,324461|20,956797
2|8|1|1,162899|13,194900|16,090484|16,934631|18,287624|22,366122|28,897533|26,914885|18,287624
2|8|2|0,807525|9,464664|6,970563|7,869088|8,681941|23,161039|27,056155|22,845209|8,681941
2|8|3|0,759248|7,681720|5,308597|6,071462|6,525429|23,209562|26,029507|20,873568|6,525429
2|8|4|0,757253|8,650995|6,258603|7,149956|7,885227|22,406023|26,123945|21,826530|7,885227
2|8|5|0,761054|9,049265|7,867053|8,879349|10,037182|22,317520|26,553409|22,511065|10,037182
2|8|6|0,799966|7,350601|4,680853|5,454170|5,919686|23,111497|25,483209|20,096491|5,919686
2|8|7|0,840692|6,132275|6,046256|6,802281|7,996963|22,252203|23,972255|17,056999|7,996963
2|8|8|0,865114|10,639599|9,601803|10,601883|11,761769|22,877764|27,435062|23,729732|11,761769
2|8|9|0,836605|10,929241|10,772283|11,735961|12,928179|22,891916|27,614603|24,016498|12,928179
2|8|10|0,789001|9,883035|10,096132|10,938660|11,909301|22,455314|27,244871|23,732946|11,909301
2|8|11|0,792321|8,889292|6,663189|7,601849|8,679222|22,405422|26,078642|21,458785|8,679222
2|8|12|0,956353|8,206187|9,187735|9,977529|11,178735|22,452018|26,297191|21,549480|11,178735
2|8|13|0,826538|14,162367|14,799274|15,887864|17,301031|23,052636|29,312229|27,138604|17,301031
2|8|14|0,833718|13,346264|13,752349|14,815941|16,233384|22,955524|28,882509|26,404218|16,233384
2|8|15|0,879495|17,170618|20,196134|21,172998|22,157238|23,097836|30,962433|30,263508|22,157238
2|8|16|0,860696|6,922472|2,765744|3,433243|3,594226|22,349069|22,739220|16,863589|3,594226
2|8|17|0,765126|7,205347|6,285912|7,035776|7,347052|22,822437|26,792115|22,611054|7,347052
2|8|18|0,754396|8,039095|6,717352|7,580856|8,089173|23,011117|26,689448|22,312731|8,089173
2|8|19|0,873794|5,482825|2,440436|3,025214|3,258274|22,967499|19,916634|12,524845|3,258274
2|8|20|0,784673|9,160709|8,945383|9,835899|10,647404|22,744775|27,269793|23,532454|10,647404
2|9|1|1,554594|19,541121|26,563635|27,283485|29,001905|22,163444|30,452485|30,185009|29,001905
2|9|2|0,803038|11,843244|12,646075|13,592600|14,736598|22,428994|28,171661|25,540193|14,736598
2|9|3|0,761630|6,997207|4,741409|5,470224|6,189611|23,149027|24,729287|18,327246|6,189611
2|9|4|0,876104|10,149578|7,503839|8,339830|8,784815|23,137183|28,375620|25,505222|8,784815
2|9|5|0,835764|7,331974|7,320053|8,075051|8,660987|22,675999|26,513072|22,135685|8,660987
2|9|6|0,906991|7,662668|7,198831|7,996163|8,761444|22,981328|26,017257|20,984720|8,761444
2|9|7|0,815534|7,836164|6,767592|7,547787|8,043810|22,897730|26,624211|22,184664|8,043810
2|9|8|0,850935|6,306455|5,368294|6,086539|6,658214|22,781962|24,584145|19,051614|6,658214
2|9|9|0,868019|12,440771|10,438698|11,540455|12,726590|23,104252|28,410910|25,482386|12,726590
2|9|10|0,826107|6,265481|6,668480|7,367491|8,011509|22,859852|25,058920|19,533609|8,011509
2|9|11|0,815082|9,163396|8,328384|9,150099|9,589221|22,522367|27,673274|24,615465|9,589221
2|9|12|0,739820|5,786639|4,881414|5,598792|5,805844|22,740415|24,498623|19,038213|5,805844
2|9|13|0,791650|10,087885|7,891941|8,832592|9,555626|23,020568|27,371612|23,564117|9,555626
2|9|14|0,921623|13,872750|14,078255|15,118601|16,201995|22,999076|29,471583|27,555289|16,201995
2|9|15|0,785226|9,139805|7,800197|8,656431|9,532285|22,935660|27,029198|22,870932|9,532285
2|9|16|0,791888|7,331877|5,340168|6,108148|6,413571|23,145919|25,988110|21,001177|6,413571
2|9|17|0,826856|5,872323|3,268539|3,923050|4,600079|22,881046|21,189308|13,030941|4,600079
2|9|18|0,815276|11,647905|10,178056|11,227343|12,376936|23,049693|28,111843|24,908511|12,376936
2|9|19|0,794435|9,175134|7,144982|8,033217|8,930426|23,100813|26,665078|22,030464|8,930426
2|9|20|0,791899|5,839403|3,882407|4,569983|4,541410|22,557362|24,633895|19,299267|4,541410
2|10|1|1,460178|8,840682|10,202503|10,994028|12,075928|22,318353|26,939713|23,103354|12,075928
2|10|2|0,772208|7,618350|7,265813|8,107674|9,219285|22,271937|25,852771|20,936634|9,219285
2|10|3|0,873829|8,269731|4,314118|5,092866|6,029207|22,283627|24,093553|17,733502|6,029207
2|10|4|0,903629|12,032857|9,834131|10,817673|11,464919|23,161124|28,994662|26,635985|11,464919
2|10|5|0,784779|8,340448|5,732069|6,587788|7,196909|22,454961|25,946585|21,519903|7,196909
2|10|6|0,792069|8,983425|6,381250|7,252957|7,936876|23,107083|26,552438|21,918356|7,936876
2|10|7|0,817621|9,030413|7,117529|8,002972|8,645450|23,009802|26,767579|22,402128|8,645450
2|10|8|0,764619|9,066188|8,236235|9,102462|9,539554|22,998973|27,672766|24,125311|9,539554
2|10|9|0,957409|10,557852|12,288633|13,134823|14,697375|22,100070|27,109141|23,558816|14,697375
2|10|10|0,769058|8,366338|6,625845|7,509460|8,388268|22,890483|26,359243|21,631999|8,388268
2|10|11|1,172313|8,247236|8,959800|9,708718|10,598459|22,944700|26,603164|21,856705|10,598459
2|10|12|0,739432|7,568175|5,640836|6,421221|6,406895|22,724600|26,534478|22,477252|6,406895
2|10|13|0,739653|7,503986|6,802957|7,560767|8,011982|22,911389|26,429936|21,811012|8,011982
2|10|14|0,734076|8,578229|7,135148|7,960368|8,144890|22,739840|27,209435|23,610129|8,144890
2|10|15|0,950091|5,136090|1,391122|1,561485|1,642977|22,618061|1,613739|3,968453|1,642977
2|10|16|0,786860|6,587979|4,331282|5,057826|5,646586|23,016785|24,258365|17,859761|5,646586
2|10|17|0,727328|5,954411|4,670458|5,352411|6,075448|22,740919|23,245921|16,247122|6,075448
2|10|18|0,770177|5,721901|2,854816|3,512288|4,135264|22,796993|20,090826|12,280633|4,135264
2|10|19|0,748122|5,606780|4,901797|5,597217|5,712677|22,550518|25,152021|19,960193|5,712677
2|10|20|0,901173|19,889943|26,106106|26,897770|28,375753|23,113276|31,694135|31,507492|28,375753
2|11|1|1,064290|8,661621|9,619892|10,350380|11,003486|22,476353|27,384809|23,920253|11,003486
2|11|2|0,878597|8,461157|4,813485|5,613919|6,194550|22,678234|25,845256|21,332450|6,194550
2|11|3|0,830598|6,513371|4,714860|5,570945|6,642512|22,031963|23,090346|16,314044|6,642512
2|11|4|0,919152|7,991344|7,302846|8,100278|8,600621|22,818118|26,688690|22,441629|8,600621
2|11|5|0,814819|9,431537|8,755799|9,615163|10,294698|23,077362|27,398599|23,457769|10,294698
2|11|6|0,889740|11,297712|9,586540|10,449292|10,719149|23,109375|29,279236|27,201933|10,719149
2|11|7|0,869634|12,257186|11,580187|12,668879|13,969292|22,807975|28,205255|25,378344|13,969292
2|11|8|0,819576|11,390875|9,125477|10,129464|11,234851|23,001484|28,019967|24,922836|11,234851
2|11|9|0,827579|5,012325|3,292882|3,975787|4,047679|22,132236|21,391130|16,408846|4,047679
2|11|10|0,772453|8,465642|6,709209|7,580981|8,315065|22,950308|26,878595|22,641655|8,315065
2|11|11|0,782127|13,419585|13,985066|14,963911|15,926200|23,151705|29,611522|27,675326|15,926200
2|11|12|0,784141|5,517069|4,502874|5,187229|5,160367|22,662240|24,965752|19,607560|5,160367
2|11|13|0,805825|6,800008|3,874470|4,595272|5,158758|23,022383|23,893003|17,266664|5,158758
2|11|14|0,819724|8,919986|7,262577|8,088642|8,833037|23,320348|27,133248|22,599187|8,833037
2|11|15|0,830763|11,834065|10,648475|11,593499|12,065168|22,854779|29,026493|26,953485|12,065168
2|11|16|0,847633|9,305784|8,260813|9,245429|10,459662|23,118860|27,343997|22,902845|10,459662
2|11|17|0,774364|5,020545|3,530082|4,202212|4,466534|22,834469|21,893508|15,380260|4,466534
2|11|18|0,846826|7,258802|5,835536|6,637255|7,675226|22,786420|24,081282|17,616667|7,675226
2|11|19|0,822532|6,977333|5,969195|6,755592|7,737453|22,988898|24,084526|17,658375|7,737453
2|11|20|0,740753|7,649256|5,668210|6,465768|6,583976|22,764311|26,310709|22,038111|6,583976
2|12|1|1,259817|8,990766|6,392382|7,328357|8,200276|22,875580|26,122828|21,386725|8,200276
2|12|2|0,740229|9,224712|8,466318|9,341119|10,161034|21,988563|26,570478|23,004485|10,161034
2|12|3|0,947233|5,020421|2,971715|3,606711|4,443866|21,860072|18,507494|12,391736|4,443866
2|12|4|0,878351|9,712645|6,104851|6,967106|7,543189|23,104291|27,308375|23,604366|7,543189
2|12|5|0,822783|8,292446|5,879354|6,752757|7,669517|22,102395|25,624849|20,903698|7,669517
2|12|6|0,908798|8,155830|4,828698|5,616073|6,572625|23,073531|24,709319|18,168339|6,572625
2|12|7|0,991333|5,450220|2,868996|3,500722|4,297319|22,247977|18,620115|12,147811|4,297319
2|12|8|0,832677|7,379583|5,720049|6,472981|6,808609|22,811143|26,407821|21,939689|6,808609
2|12|9|0,901536|21,327346|28,947273|29,648194|31,386608|23,213214|31,796687|31,760183|31,386608
2|12|10|0,768470|6,726899|4,869603|5,574623|5,511370|22,710383|26,353738|22,086065|5,511370
2|12|11|0,784669|9,435968|6,237137|7,133634|7,400059|22,914601|26,998745|23,173070|7,400059
2|12|12|0,781283|7,116011|5,629345|6,381628|7,086750|23,065678|25,498187|19,807464|7,086750
2|12|13|0,775739|5,833322|4,064441|4,743050|4,687335|22,651771|25,098808|19,853240|4,687335
2|12|14|0,773002|6,326808|5,993511|6,694166|6,926712|22,748498|26,020303|21,239373|6,926712
2|12|15|0,767730|10,419918|8,613676|9,524094|10,356610|22,956271|27,801275|24,467627|10,356610
2|12|16|0,743316|5,517861|4,235350|4,913509|4,900007|22,785153|23,469995|17,492004|4,900007
2|12|17|0,787160|8,978839|7,386892|8,205854|8,336961|22,610813|27,830047|24,974859|8,336961
2|12|18|0,895074|6,603994|5,551633|6,105418|7,399906|21,814518|5,877066|6,809780|7,399906
2|12|19|0,868614|11,454519|10,030066|11,026370|11,710061|22,700469|28,363596|25,847203|11,710061
2|12|20|0,776714|8,177220|5,766835|6,575516|6,700296|22,776136|26,503054|22,322124|6,700296
2|13|1|1,181837|7,786355|6,060466|6,852652|8,015786|23,364056|24,889134|18,101929|8,015786
2|13|2|0,846571|8,934793|7,218496|8,155853|9,357140|22,018068|26,093156|21,790009|9,357140
2|13|3|0,970180|7,995310|6,926873|7,718332|8,324807|23,052349|26,716614|22,041919|8,324807
2|13|4|0,795705|8,171011|5,943073|6,812680|7,664683|23,051415|26,212377|21,153577|7,664683
2|13|5|0,831868|5,522274|5,510087|6,217250|6,539975|22,753314|24,728681|19,329192|6,539975
2|13|6|0,875289|8,124016|6,846550|7,654529|8,311454|22,610366|26,319818|21,944254|8,311454
2|13|7|0,838301|9,399090|7,887529|8,819204|9,719402|22,738436|27,180082|23,403842|9,719402
2|13|8|0,801044|8,603126|6,082453|6,934044|7,987608|22,634832|25,645473|20,115738|7,987608
2|13|9|0,902647|7,652086|2,141533|2,664181|2,871057|23,005503|21,294124|14,355220|2,871057
2|13|10|0,823258|8,252898|5,503290|6,320401|7,226512|23,098927|25,421618|19,603654|7,226512
2|13|11|0,946564|5,649422|3,189415|3,853661|4,533983|22,511260|20,810534|14,138019|4,533983
2|13|12|0,887829|6,180248|4,428006|5,232033|6,093660|22,433925|21,442146|15,853167|6,093660
2|13|13|0,880898|12,814512|13,509303|14,459150|15,409700|22,705412|29,061154|27,009211|15,409700
2|13|14|0,789417|9,380394|8,378623|9,349075|10,569282|22,760121|27,024304|22,879391|10,569282
2|13|15|0,790790|11,277726|9,726413|10,735391|11,641932|22,951404|28,060798|24,947691|11,641932
2|13|16|0,836201|6,688540|3,479094|4,180170|4,473693|22,613195|23,527700|18,377099|4,473693
2|13|17|0,910372|6,718313|6,587327|7,425138|8,916452|21,771917|23,818863|17,689486|8,916452
2|13|18|0,837190|10,587398|7,761498|8,695404|9,203842|23,151219|28,287852|25,395553|9,203842
2|13|19|0,869798|6,077467|3,622165|4,417971|5,508106|22,198024|20,917786|13,516988|5,508106
